5,"21,434",7.0
10,"20,785",6.8
15,"19,893",6.5
20,"21,086",6.9
25,"21,154",7.0
30,"21,453",7.1
35,"19,632",6.5
40,"19,888",6.5
45,"20,559",6.8
50,"22,527",7.4
55,"21,860",7.2
60,"19,172",6.3
65,"16,223",5.3
70,"12,020",4.0
75,"8,936",2.9
80,"7,181",2.4
85,"5,783",1.9
90,"4,693",1.5
